Generic Name,Trade Name,Date Designated,Orphan Designation,Orphan Designation Status,FDA Orphan Approval Status,Approved Labeled Indication,Marketing Approval Date,Exclusivity End Date,Exclusivity Protected Indication *,Sponsor Company,Sponsor Address 1,Sponsor Address 2,Sponsor City,Sponsor State,Sponsor Zip,Sponsor Country,CF Grid Key
6-[18F] fluoro-L-m-tyrosine,,4/17/19,Diagnostic for the management of Aromatic L-Amino Acid Decarboxylase Deficiency,Designated,Not FDA Approved for Orphan Indication,,,,,"Advanced Imaging Projects, LLC",7947 Brookside Ct.,,Lake Worth,Florida,33467,United States,686619
"6-[4-Deoxy-4-[(2E,4E)-tetradecadienoylglycyl]amino-L-glycero-B-L-manno-heptopyranosyl]amino-9H-purine",,6/12/14,Treatment of multiple myeloma,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,"DARA Therapeutics, Inc.",8601 Six Forks Road,Suite 160 (Forum 1),Raleigh,North Carolina,27615,United States,434414
6-{(1S)-1-[(2-Amino-6-fluoroquinolin-3-yl)oxy]ethyl}-5-(1H-pyrazol-1-yl)pyridin-2(1H)-one,,9/18/20,Treatment for Sickle Cell Disease.,Designated,Not FDA Approved for Orphan Indication,,,,,"Pfizer, Inc.",500 Arcola Road,,Collegeville,Pennsylvania,19426,United States,766020
"6-{4-[l-(propan-2-yl)piperidin-4-yl]-1,4-diazepan-1-yl}-N-(pyridin-4-yl)pyridine-2-carboxamide",,2/11/16,Treatment of glioblastoma multiforme (GBM).,Designated,Not FDA Approved for Orphan Indication,,,,,"Proximagen, LLC",505 Waterford Park,Hwy 169 North,Plymouth,Minnesota,55441,United States,503415
"6-{[(1R,2S)-2-aminocyclohexyl]amino-7-fluoro-4-(1-methyl-1H-pyrazol-4-yl)-1,2-dihydro-3H-pyrrolo[3,4-c]pyridin-3-one monocitrate",,2/25/19,Treatment of follicular lymphoma,Designated,Not FDA Approved for Orphan Indication,,,,,"Takeda Development Center Americas, Inc.",95 Hayden Avenue,,Lexington,Massachusetts,2421,United States,671718
"6-{[(1R,2S)-2-aminocyclohexyl]amino}-7-fluoro-4-(1-methyl-1H-pyrazol-4-yl)-1,2-dihydro-3H-pyrrolo[3,4-c]pyridin-3-one monocitrate",,10/3/17,Treatment of acute myeloid leukemia (AML),Designated,Not FDA Approved for Orphan Indication,,,,,"Takeda Development Center Americas, Inc.",95 Hayden Avenue,,Lexington,Massachusetts,2421,United States,606817
"6-{[(1R,2S)-2-aminocyclohexyl]amino}-7-fluoro-4-(1-methyl-1H-pyrazol-4-yl)-1,2-dihydro-3H-pyrrolo[3,4-c]pyridine-3-one monocitrate",,2/14/17,Treatment of diffuse large B-cell lymphoma,Designated,Not FDA Approved for Orphan Indication,,,,,"Takeda Development Center Americas, Inc.",95 Hayden Avenue,,Lexington,Massachusetts,2421,United States,556916
"7,8-dibromo-5,6-dihydro-9-methyl-2-(1-piperazinyl)-4H-imidazo[4,5,1-ij] quinoline hydrochloride",,3/26/20,Treatment of acute myeloid leukemia,Designated,Not FDA Approved for Orphan Indication,,,,,Ryvu Therapeutics S.A.,Bobrzynskiego 14,,Krakow,,,Poland,733220
"7-(4-fluoro-2-methoxyphenyl)-6-methyl-N-(1-(piperidin-4-yl)-1H-pyrazol-4-yl) thieno [3,2-d]pyrimidin-2-amine semi-fumarate",,3/26/18,Treatment of acute myeloid leukemia,Designated,Not FDA Approved for Orphan Indication,,,,,"MaxiNovel Pharmaceutical Co.,Ltd",Building A4-1005,181 Science Boulevard,Guangzhou,Guangdong Sheng,,China,629118
7-B-Hydroxy Cholesteryl-3-B-Oleate-Ester,,6/15/11,Treatment of gliomas.,Designated,Not FDA Approved for Orphan Indication,,,,,Intsel Chimos SA,1 rue Royale,,91123 Saint-Cloud Cedex,,,France,343511
"7-benzyl-4-(2-methylbenzyl)-1,2,6,7,8,9-hexahydroimidazo[1,2-a]pyrido[3,4-e]pyrimidin-5(4H)-one",,6/4/18,Treatment of malignant glioma,Designated,Not FDA Approved for Orphan Indication,,,,,"Chimerix, Inc.","2505 Meridian Parkway, Suite 100",,Durham,North Carolina,27713,United States,640218
"7-benzyl-4-(2-methylbenzyl)-1,2,6,7,8,9-hexahydroimidazo[1,2-a]pyrido[3,4-e]pyrimidin-5(4H)-one*2HCl",,6/23/16,Treatment of glioblastoma.,Designated,Not FDA Approved for Orphan Indication,,,,,"Chimerix, Inc.","2505 Meridian Parkway, Suite 100",,Durham,North Carolina,27713,United States,527916
"7-benzyl-4-(2-methylbenzyl)-1,2,6,7,8,9-hexahydroimidazo[1,2-a]pyrido[3,4-e]pyrimidin-5(4H)-one-2HCL",,2/7/17,Treatment of mantle cell lymphoma (MCL),Designated,Not FDA Approved for Orphan Indication,,,,,"Chimerix, Inc.","2505 Meridian Parkway, Suite 100",,Durham,North Carolina,27713,United States,553316
7-ethyl-10-hydroxycamptothecin (EHC),,4/13/16,Treatment of small cell lung cancer.,Designated,Not FDA Approved for Orphan Indication,,,,,"Nippon Kayaku Co., Ltd.","1-1, Marunouchi 2-chome",,Chiyoda,Tokyo,,Japan,513715
72 amino acid proprietary recombinant protein antagonist for the CXCR1 and CXCR2 receptors of interleukin-8,,6/4/19,Treatment of Pancreatic Cancer,Designated,Not FDA Approved for Orphan Indication,,,,,Rise Biopharmaceutical Ltd.,"Room B405, Zhongguancun Shangdi Bio-medical Park","No.5 Kaituo Road, Haidian District",Beijing,Beijing,,China,660218
"8 Cyclopentyl 1,3-dipropylxanthine",,3/24/97,Treatment of cystic fibrosis.,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,"SciClone Pharmaceuticals, Inc.",901 Mariner's Island Boulevard,,San Mateo,California,94404,United States,103997
8-(1-Hydroxy-ethyl)-2-methoxy-3-(4-methoxy-benzyloxy)-benzo[c]chromen-6-one,,1/21/15,Treatment of glioblastoma multiforme,Designated,Not FDA Approved for Orphan Indication,,,,,"Diffusion Pharmaceuticals, Inc.",2020 Avon Court,Suite 4,Charlottesville,Virginia,22902,United States,463714
"8-(6-iodobenzo[1,3]dioxol-5-ylsufanyl)-9-(3-isopropylamino propyl)adenine dihydrochloride",,5/16/18,Treatment of Myelofibrosis,Designated,Not FDA Approved for Orphan Indication,,,,,"Samus Therapeutics, Inc.",10 South Main Street,,Topsfield,Massachusetts,1983,United States,638018
"8-bromo-2-(1-methylpiperidin-4-yl) amino)-4-(4-phenoxyphenyl) amino) pyrido[4,3-d] pyrimidin-5(6H)-one hydrochloride",,11/20/18,Treatment of Acute Myeloid Leukemia,Designated,Not FDA Approved for Orphan Indication,,,,,Oscotec Inc.,"Korea Bio-Park Bldg A, 9th Floor","700 Dawwangpangyo-ro, Bundang-gu",Seongnam-si,Gyeonggi-do,,South Korea,661018
8-methoxsalen,,6/22/93,For use in conjunction with the UVAR photopheresis to treat diffuse systemic sclerosis.,Designated,Not FDA Approved for Orphan Indication,,,,,Mallinckrodt Hospital Products IP Limited,1425 U.S. Route 206 (S2C31.19),,Bedminster,New Jersey,7921,United States,74293
"8-[4-(1-aminocyclobutyl)phenyl]-9-phenyl-1,2,4-triazolo[3,4-f][1,6]naph-thyrin-3(2H)-one mono-hydrochloride",,9/3/09,Treatment of ovarian cancer.,Designated,Not FDA Approved for Orphan Indication,,,,,Merck Sharp & Dohme Corp.,P. O. Box 1000,UG-2C50,North Wales,Pennsylvania,19454,United States,291309
"9,10-dimethoxy-5,6-dihydro-[1,3] dioxolo[4,5-g]isoquinolino[3,2-alpha]isoquinolin-7-ium(R)-4-((3R,5S,7S,8R,9S,10S,13R,14S,17R)-3,7-dihydroxy-10,13-dimethyhexadecahydro-1H-cyclopenta[alpha]",,8/29/16,Treatment of primary sclerosing cholangitis,Designated,Not FDA Approved for Orphan Indication,,,,,HighTide Biopharma Pty. Ltd.,1 Melissa Street,,Mount Waverley,Victoria,,Australia,509915
"9-cis, 12-cis-11,11-d2-linoleic acid ethyl ester",,5/23/16,Treatment of Friedreich's Ataxia,Designated,Not FDA Approved for Orphan Indication,,,,,"Retrotope, Inc.",4300 El Camino Real,Suite 201,Los Altos,California,94022,United States,492315
"9-cis,12-cis-11,11-D2-linoleic acid ethyl ester",,10/24/17,Treatment of PLA2G6-associated neurodegeneration,Designated,Not FDA Approved for Orphan Indication,,,,,"Retrotope, Inc.",4300 El Camino Real,Suite 201,Los Altos,California,94022,United States,607717
9-cis-retinoic acid,,1/2/97,Prevention of retinal detachment due to proliferative vitreoretinopathy.,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,"Allergan, Inc.",2525 Dupont Drive,P.O. Box 19534,Irvine,California,92623,United States,101296
9-nitro-20-(S)-camptothecin,,9/16/96,Treatment of pancreatic cancer.,Designated,Not FDA Approved for Orphan Indication,,,,,"SuperGen, Inc.",4140 Dublin Blvd.,Suite 200,Dublin,California,94568,United States,100196
9-nitro-20-(S)-camptothecin,,5/15/01,Treatment of pediatric HIV infection/AIDS,Designated,Not FDA Approved for Orphan Indication,,,,,"NovoMed Pharmaceuticals, Inc.",P.O. Box 900,,Germantown,Maryland,20875,United States,142201
90Y-DOTA-tyr3-Octreotide,,1/20/16,Treatment of neuroendocrine tumors,Designated,Not FDA Approved for Orphan Indication,,,,,"M. Sue O'Dorisio, MD, PhD","2519 JPP, 200 Hawkins Drive",,Iowa City,Iowa,52242,United States,504015
90Y-hPAMA4,,1/29/04,Treatment of pancreatic cancer,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,"Immunomedics, Inc.",300 American Road,,Morris Plains,New Jersey,7950,United States,178503
"99mTc-HYNIC-[D-Phe1,Tyr3-Octreotide] trifluoroacetate",,12/5/18,Diagnostic for the management of neuroendocrine tumors,Designated,Not FDA Approved for Orphan Indication,,,,,Narodowe Centrum Badan Jadrowych,ul. Andrzeja Soltana 7,,Otwock,Masovian Voivodeship,05-400,Poland,661918
?-CD39 IgG4 monoclonal antibody,,3/29/21,Treatment of pancreatic cancer,Designated,Not FDA Approved for Orphan Indication,,,,,"Surface Oncology, Inc.",50 Hampshire Street,8th Floor,Cambridge,Massachusetts,2139,United States,808821
A cellular product consisting of autologous CD34+ human hematopoietic stem and progenitor cells modified by clustered regularly interspaced short palindromic repeats-associated 9 nuclease (CRISPR-Cas9)-mediated gene editing,,4/28/20,Treatment of ߭thalassemia,Designated,Not FDA Approved for Orphan Indication,,,,,Vertex Pharmaceuticals Inc.,50 Northern Avenue,,Boston,Massachusetts,2210,United States,714319
A cellular product consisting of autologous CD34+ human hematopoietic stem and progenitor cells modified by CRISPR-Cas9-mediated gene editing,,5/11/20,Treatment of sickle cell disease,Designated,Not FDA Approved for Orphan Indication,,,,,Vertex Pharmaceuticals Inc.,50 Northern Avenue,,Boston,Massachusetts,2210,United States,715519
a chemically modified full phosphorothioate-backboned anti-miR-17 oligonucleotide.,,7/28/20,Treatment of autosomal dominant polycystic kidney disease,Designated,Not FDA Approved for Orphan Indication,,,,,"Regulus Therapeutics, Inc.",10628 Science Center Drive,Suite 225,San Diego,California,92121,United States,750820
A chimeric antigen receptor (CAR) immunotherapy directed against the target protein CD7,,2/8/21,Treatment of acute lymphoblastic leukemia,Designated,Not FDA Approved for Orphan Indication,,,,,"iCell Gene Therapeutics, LLC","25 Health Sciences Dr., Suite 118",,Stony Brook,New York,11790,United States,800320
"a fourth generation activating chimeric receptor (ACR) natural killer (NK) cell therapy engineered with an NKG2D ACR, OX40 costimulatory domain, CD3zeta signaling moiety, and membrane bound IL-15 (mb-IL15)",,12/14/21,Treatment of acute myeloid lymphoma,Designated,Not FDA Approved for Orphan Indication,,,,,"Nkarta, Inc.","6000 Shoreline Court, Suite 102",,South San Francisco,California,94080,United States,851121
"a highly purified unmodified carbohydrate polymer which consists of (1,3) and (1,4)-beta-glycosidic linkages",,10/21/20,Treatment of Osteosarcoma,Designated,Not FDA Approved for Orphan Indication,,,,,University Hospitals Cleveland Medical Center,"10532 Euclid Avenue, Walker 3000",,Cleveland,Ohio,44106,United States,774420
a humanized aglycosylated IgG1 kappa monoclonal antibody targeting CD117 (cKit),,6/7/21,conditioning treatment prior to hematopoietic stem cell transplantation,Designated,Not FDA Approved for Orphan Indication,,,,,"Jasper Therapeutics, Inc.","2200 Bridge Parkway, Suite #102",,Redwood City,California,94065,United States,820121
a humanized immunoglobulin IgG1k-agonistic monoclonal antibody that binds to CD40,,8/3/21,Treatment of Soft Tissue Sarcoma,Designated,Not FDA Approved for Orphan Indication,,,,,"Apexigen, Inc.","75 Shoreway Road, Suite C",,San Carlos,California,94070,United States,830321
"a liposomal formulation of CEBPA-51, an saRNA duplex in sucrose/phosphate buffer",,7/6/21,Treatment of hepatocellular carcinoma (HCC),Designated,Not FDA Approved for Orphan Indication,,,,,"MiNA Alpha, Ltd",84 Wood Lane,,London,,W12 0BZ,United Kingdom,823821
a live attenuated bioengineered Listeria monocytogenes cancer immunotherapy,,4/29/14,Treatment of Stage II to IV invasive cervical carcinoma,Designated,Not FDA Approved for Orphan Indication,,,,,"Advaxis, Inc.",305 College Road East,,Princeton,New Jersey,8540,United States,429814
a long-acting interleukin-11 analog comprised of 178 amino acids covalently modified wiht a 40-kDa branched maleimide-polyethylene glycol at the added cysteine residue following the carboxy-terminal amino acid,,4/17/19,Treatment of acute radiation syndrome,Designated,Not FDA Approved for Orphan Indication,,,,,"Bolder BioTechnology, Inc.","2425 55th Street, Suite 210",,Boulder,Colorado,80301,United States,680919
a native AAV9 capsid with a genomic cassette containing a cardiomyocyte-specific promoter and the wild-type human MYBPC3 gene,,5/12/21,Treatment of hypertrophic cardiomyopathy (HCM) due to loss-of-function mutations in the MYBPC3 gene encoding cardiac myosin-binding protein C,Designated,Not FDA Approved for Orphan Indication,,,,,Tenaya Therapeutics,701 Oyster Point Blvd,Suite 500,South San Francisco,California,94080,United States,813221
"a non-replicating recombinant adeno-associated virus serotype hu68 vector, containing a transgene encoding the human galactosylceramidase (GALC) enzyme",,10/22/20,Treatment of Krabbe disease (globoid cell leukodystrophy),Designated,Not FDA Approved for Orphan Indication,,,,,"Passage Bio, Inc.","Commerce Square Two, 2001 Market Street",,Philadelphia,Pennsylvania,19103,United States,776620
a novel humanized bispecific XmAb T cell recruiting antibody cross-reactive to human and nonhuman primate STEAP1 and CD3,,7/7/20,Treatment of Ewing Sarcoma,Designated,Not FDA Approved for Orphan Indication,,,,,"Amgen, Inc.",One Amgen Center Drive,Mail Stop: 27-3-F,Thousand Oaks,California,91320,United States,760020
a peptidomimetic protein peptide with sequence H-Gly-Arg-Arg-Ala-Ala-Pro-Gly-Arg-Aib-Gly-Gly-NH2,,4/8/21,Treatment of Lennox- Gastaut Syndrome,Designated,Not FDA Approved for Orphan Indication,,,,,CuroNZ Ltd,173 Cames Road,,Mangawhai,,975,New Zealand,810621
A potent and selective inhibitor of Gamma Secretase-mediated NOTCH signaling,,5/8/19,Treatment of Adenoid cystic carcinoma,Designated,Not FDA Approved for Orphan Indication,,,,,"Ayala Pharmaceuticals, Inc.","7 Oppenheimer St.,",,Rehovot,,,Israel,683819
a pre-formulated vaccine which contains the cell-free filtrates of B. anthracis non-encapsulated strain V-770-NP1-R adsorbed to Al(OH)3 with CPG 7909 as adjuvant,,8/19/21,Post-exposure prophylaxis of anthrax disease resulting from suspected or confirmed Bacillus anthracis exposure,Designated,Not FDA Approved for Orphan Indication,,,,,"Emergent Product Development Gaithersburg, Inc.",300 Professional Drive,,Gaitherburg,Maryland,20879,United States,832521
A recombinant adeno-associated viral (AAV) vector encoding the human otoferlin (hOTOF) gene.,,4/12/21,Treatment of otoferlin gene (OTOF)-mediated hearing loss,Designated,Not FDA Approved for Orphan Indication,,,,,"Akouos, Inc.",645 Summer Street,Suite 200,Boston,Massachusetts,2210,United States,811221
a recombinant adeno-associated virus pseudotyped with serotype 5 viral capsid encoding CRISPR/Cas9 (clustered regularly interspaced short palindromic repeats associated protein 9) gene editing constructs,,7/23/19,Treatment of CEP290 gene mutations including Leber congenital amaurosis.,Designated,Not FDA Approved for Orphan Indication,,,,,Editas Medicine,11 Hurley Street,,Cambridge,Massachusetts,2141,United States,693419
a recombinant human monoclonal antibody targeting hantavirus,,8/5/21,Treatment of hantavirus Infection,Designated,Not FDA Approved for Orphan Indication,,,,,Ichor Biologics,423 West 127th Street,,New York,New York,10027,United States,830721
A recombinant humanized IgG1 monoclonal antibody targeting programmed death-ligand 1,,2/13/20,Treatment of Nasopharyngeal carcinoma,Designated,Not FDA Approved for Orphan Indication,,,,,"Harbour BioMed US, Inc.",1209 Orange Street,,Wilmington,Delaware,19801,United States,723119
"A replication-defective, non-integrating herpes simplex virus type 1 vector expressing human cystic fibrosis transmembrane conductance regulator",,8/17/20,Treatment of Cystic Fibrosis,Designated,Not FDA Approved for Orphan Indication,,,,,"Krystal Biotech, Inc.",2100 Wharton Street,,Pittsburgh,Pennsylvania,15203,United States,755320
"A replication-incompetent, non-integrating Herpes simplex type 1 (HSV-1) vector expressing the human transglutaminase-1 (TGM-1) enzyme",,8/7/18,Treatment of TGM-1-deficient autosomal recessive congenital ichthyosis (ARCI),Designated,Not FDA Approved for Orphan Indication,,,,,"Krystal Biotech, Inc.",2100 Wharton Street,,Pittsburgh,Pennsylvania,15203,United States,648718
a self-complementary adeno-associated virus serotype 9 expressing human codon-optimized CLN1 under control of CBh,,2/7/18,Treatment of neuronal ceroid lipofuscinosis type 1 (CLN1),Designated,Not FDA Approved for Orphan Indication,,,,,"Taysha Gene Therapies, Inc.",BioCenter at UT Southwestern,2280 Inwood Rd.,Dallas,Texas,75235,United States,628718
a single-stranded adeno-associated virus serotype 8 gene therapy containing codon optimized human alpha-1-iduronidase cDNA.,,10/22/20,Treatment of mucopolysaccharidosis type I (MPS I),Designated,Not FDA Approved for Orphan Indication,,,,,"Rain Bio, Inc.",8628 Valley Brook Drive,,Raleigh,North Carolina,27613,United States,774120
A small molecule inhibitor of the pro-survival protein Myeloid Cell Leukemia sequence 1 (MCL 1),,2/15/19,Treatment of Acute Myeloid Leukemia,Designated,Not FDA Approved for Orphan Indication,,,,,Amgen Inc.,One Amgen Center Drive,Mail Stop 27-2-D,Thousand Oaks,California,91320-1799,United States,675018
a small molecule tissue-nonspecific alkaline phosphatase inhibitor,,10/7/19,Treatment of Pseudoxanthoma elasticum,Designated,Not FDA Approved for Orphan Indication,,,,,"Daiichi Sankyo, Inc.",211 Mount Airy Road,,Basking Ridge,New Jersey,7920,United States,705419
a strain of modified live probiotic bacterium Escherichia coli (E.coli) Nissle 1917 that has been modified to treat phenylketonuria by consuming phenylalanine within the gastrointestinal tract,,10/18/17,Treatment of phenylketonuria (PKU),Designated,Not FDA Approved for Orphan Indication,,,,,"Synlogic, Inc.","200 Sidney Street, Suite 320",,Cambridge,Massachusetts,2139,United States,608717
a synthetic double-stranded RNA oligonucleotide conjugated to N-acetyl-D-galactosamine aminosugar residues,,3/16/20,Treatment of alpha-1 antitrypsin deficiency,Designated,Not FDA Approved for Orphan Indication,,,,,"Dicerna Pharmaceuticals, Inc.",33 Hayden Avenue,,Lexington,Massachusetts,2421,United States,727619
A therapeutic vaccine targeting the HPV16 E6/E7 proteins,,6/26/20,Treatment of HPV16-positive cervical cancer,Designated,Not FDA Approved for Orphan Indication,,,,,ISA Therapeutics BV,J.H. Oortweg 19,2333 CH Leiden,CH Leiden,,,Netherlands,744820
a Toll-like receptor (TLR) 9 agonist,,2/26/20,Treatment of Stage IIb to IV Melanoma,Designated,Not FDA Approved for Orphan Indication,,,,,"Checkmate Pharmaceuticals, Inc.","245 Main St, 2nd Floor",,Cambridge,Massachusetts,2142,United States,724819
A-dmDT390-bisFv(UCHT1),,10/9/14,Treatment of cutaneous T-cell lymphoma,Designated,Not FDA Approved for Orphan Indication,,,,,"Angimmune, LLC",American Red Cross Holland Laboratory,15601 Crabbs Branch Way,Rockville,Maryland,20855,United States,448114
a-Galactosidase A,,1/21/03,Treatment of Fabry's disease,Designated,Not FDA Approved for Orphan Indication,,,,,"iBio, Inc.",9 Innovation Way,Suite 100,Newark,Delaware,19711,United States,162302
A10 & AS2-1 Antineoplaston,,9/3/04,Treatment for patients with brain stem glioma,Designated,Not FDA Approved for Orphan Indication,,,,,"Burzynski Research Institute, Inc.",9432 Old Katy Road,,Houston,Texas,77055,United States,189804
"aadeno-associated viral vector, serotype 2, containing the human choroideremia gene encoding human Rab escort protein 1",,9/12/13,Treatment of choroideremia due to mutations in the human choroideremia gene (CHM),Designated,Not FDA Approved for Orphan Indication,,,,,"Sparks Therapeutics, Inc.",3737 Market Street,Suite 1300,Philadelphia,Pennsylvania,19104,United States,404713
AAV-G6Pase vector,,3/11/13,Treatment of glycogen storage disease type Ia,Designated,Not FDA Approved for Orphan Indication,,,,,"GlyGenix Therapeutics, Inc.",15 Research Drive,,Woodbridge,Connecticut,6443,United States,378912
"AAV8/TTR-hFVa - Adeno Associated Virus, Serotype 8 with a transthyretin promotor and encoded transgene for human clotting Factor Va.",,10/27/21,Treatment of Hemophilia A or Hemophilia B with or without Inhibitors,Designated,Not FDA Approved for Orphan Indication,,,,,"GeneVentiv Therapeutics, Inc.",312 Buncombe Street,,Raleigh,North Carolina,27609,United States,843221
AAV9 capsid encapsulating a bicistronic vector encoding for a unique combination of a recombinant human ?-glucocerebrosidase enzyme with the S1S3 variant of the N-acetylglucosamine-Phosphotransferase (S1S3 PTase),,10/21/20,treatment of Gaucher disease,Designated,Not FDA Approved for Orphan Indication,,,,,M6P Therapeutics,20 S. Sarah Street,,St. Louis,Missouri,63108,United States,775220
AAV9 gene therapy encoding the Dok7 protein,,11/19/20,Treatment of congenital myasthenic syndrome,Designated,Not FDA Approved for Orphan Indication,,,,,Amplo Biotechnology Inc.,"2637 E. Atlantic Ave., Ste 43644",,Pompano Beach,Florida,33062,United States,781220
abagovomab,,11/25/03,Treatment of epithelial ovarian cancer,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,Menarini Ricerche S.p.A.,Via Tito Speri 10,Pomezia,Roma,,,Italy,171803
abatacept,Orencia,12/26/17,Prevention of graft versus host disease,Designated/Approved,,"prophylaxis of acute graft versus host disease (aGVHD), in combination with a calcineurin inhibitor and methotrexate, in adults and pediatric patients 2 years of age and older undergoing hematopoietic stem cell transplantation (HSCT) from a matched or 1 allele-mismatched unrelated-donor", 12/15/2021 ,  ,,Bristol-Myers Squibb Co.,P. O. Box 5326,,Princeton,New Jersey,8543,United States,614117
abatacept,,2/22/17,Treatment of idiopathic inflammatory myopathy (IIM),Designated,Not FDA Approved for Orphan Indication,,,,,Bristol-Myers Squibb Research & Development,Marketed Products Development - Regulatory Strategy,P.O. Box 5326,Princeton,New Jersey,8543,United States,556216
Abatacept,,2/22/17,Treatment of giant cell arteritis,Designated,Not FDA Approved for Orphan Indication,,,,,Bristol-Myers Squibb Research & Development,Marketed Products Development - Regulatory Strategy,P.O. Box 5326,Princeton,New Jersey,8543,United States,556316
abatacept,,5/30/13,Treatment of type 1 diabetes mellitus patients with residual beta cell function,Designated,Not FDA Approved for Orphan Indication,,,,,Orban Biotech LLC,64 Aspinwall Avenue,,Brookline,Massachusetts,2446,United States,395713
ABCA4 DNA nanoparticles,,10/28/15,Treatment of Stargardt Macular Degeneration,Designated,Not FDA Approved for Orphan Indication,,,,,"Copernicus Therapeutics, Inc.",11000 Cedar Avenue,,Cleveland,Ohio,44106,United States,494015
abeotaxane inhibitor of microtubules,,4/18/11,Treatment of pediatric neuroblastoma.,Designated,Not FDA Approved for Orphan Indication,,,,,Cortice Biosciences,1345 Avenue of the Americas,42nd Floor,New York,New York,10105,United States,335611
abeotaxane inhibitor of microtubules,,10/7/11,Treatment of gliomas,Designated,Not FDA Approved for Orphan Indication,,,,,Cortice Biosciences,1345 Avenue of the Americas,42nd Floor,New York,New York,10105,United States,352811
Abetimus,,7/28/00,Treatment of lupus nephritis.,Designated,Not FDA Approved for Orphan Indication,,,,,La Jolla Pharmaceutical Co.,6455 Nancy Ridge Dr.,,San Diego,California,92121,United States,133600
Ac-225-4-PHenylbutyryl-His-D-Phe-Arg-Trp-Gly-Lys(eAhx-DOTA)-NH2,,2/28/19,Treatment of Uveal Melanoma,Designated,Not FDA Approved for Orphan Indication,,,,,Modulation Therapeutics Incorporated,1 Medical Center Drive,MBRCC room 1817,Morgantown,West Virginia,26506,United States,675618
Ac-Nle-cyclo-(Glu-His-D-Phe-Arg-Dap)-Trp-NH2,,6/3/19,"Treatment of non-infectious intermediate, posterior, pan, and chronic anterior uveitis",Designated,Not FDA Approved for Orphan Indication,,,,,"Palatin Technologies, Inc.",4b Cedarbrook Drive,,Cranbury Township,New Jersey,8512,United States,670418
acadesine,,3/3/11,Treatment of chronic lymphocytic leukemia,Designated,Not FDA Approved for Orphan Indication,,,,,"Avanced In Vitro Cell Technologies, S.L.",(Advancell),,Barcelona,,,Spain,203105
acadesine,,5/4/11,Treatment of multiple myeloma,Designated,Not FDA Approved for Orphan Indication,,,,,Advancell-Advanced In Vitro Cell Technologies S.A.,"Via Augusta 59, 3rd floor, door 313",,Barcelona,,,Spain,341011
acalabrutinib,CALQUENCE,9/21/15,Treatment of mantle cell lymphoma.,Designated/Approved,,treatment of adult patients with mantle cell lymphoma (MCL) who have received at least one prior therapy, 10/31/2017 , 10/31/2024 ,treatment of adult patients with mantle cell lymphoma (MCL) who have received at least one prior therapy,"Acerta Pharma, LLC (a member of the AstraZeneca Group)",121 Oyster Point Boulevard,,South San Francisco,California,94080,United States,488915
acalabrutinib,,5/13/15,Treatment of chronic lymphocytic leukemia (CLL).,Designated/Approved,,CALQUENCE is indicated for the treatment of adult patients with chronic lymphocytic leukemia (CLL) or small lymphocytic lymphoma (SLL)., 11/21/2019 , 11/21/2026 ,Indicated for the treatment of adult patients with chronic lymphocytic leukemia (CLL) or small lymphocytic lymphoma (SLL).,"Acerta Pharma, LLC (a member of the AstraZeneca Group)",121 Oyster Point Boulevard,,South San Francisco,California,94080,United States,477415
acalabrutinib,,10/22/15,Treatment of Waldenstrom macroglobulinemia.,Designated,Not FDA Approved for Orphan Indication,,,,,"Acerta Pharma, LLC (a member of the AstraZeneca Group)",121 Oyster Point Boulevard,,South San Francisco,California,94080,United States,489015
acamprosate,,3/25/13,Treatment of fragile X syndrome,Designated,Not FDA Approved for Orphan Indication,,,,,"Confluence Pharmaceuticals, LLC",Box 528,351 West 10th Street,Indianapolis,Indiana,46202,United States,392413
aceneuramic acid,,9/23/11,Treatment of hereditary inclusion body myopathy,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,"Ultragenyx Pharmaceutical, Inc.",60 Leveroni Court,Suite 200,Novato,California,94949,United States,351511
"acetic acid, propionic acid, and butyric acid",,10/22/19,Treatment of Hepatocellular Carcinoma,Designated,Not FDA Approved for Orphan Indication,,,,,"SFA Therapeutics, Inc.","610 Old York Rd, Suite 400",,Jenkintown,Pennsylvania,19046,United States,706219
acetyl-D-arginyl-D-arginyl-D-arginyl-D-arginyl-D-arginyl-D-arginyl-D-arginyl-D-arginyl-D-arginyl-D-arginyl-D-cysteinyl-D-glutaminyl-D-cystenyl-D-arginyl-D-arginyl-D-lysyl-D-asparaginylmaide disulfide,,11/24/15,Treatment of acute myeloid leukemia.,Designated,Not FDA Approved for Orphan Indication,,,,,"Genus Oncology, LLC",2458 N. Racine Avenue,,Chicago,Illinois,60614,United States,494415
acetyl-D-arginyl-D-arginyl-D-arginyl-D-arginyl-D-arginyl-D-arginyl-D-arginyl-D-arginyl-D-arginyl-D-cysteinyl-D-glutaminyl-D-cysteinyl-D-arginyl-D-arginyl-D-lysyl-Dasparaginylamide disulfide,,2/18/11,Treatment of pancreatic cancer.,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,"Genus Oncology, LLC",2458 N. Racine Avenue,,Chicago,Illinois,60614,United States,333311
