_id,pubchem_cid,pubchem_sid,inchi_key,generic_name,trade_name,orphan_designation,umls,parsed_text,designated_date,designation_status,approval_status,approved_labeled_indication,marketing_approval_date,exclusivity_end_date,exclusivity_protected_indication,sponsor
VHVPQPYKVGDNFY-ZPGVKDDISA-N,55283,"602762, 11533341, 46505954, 48416139, 49693735, 49835349, 56313645, 80687816, 92712773, 104019074, 117591824, 124766232, 126625263, 126656525, 127310214, 127310215, 144075949, 144204405, 160964501, 162176976, 170464949, 187072398, 196109748, 210275647, 210281306, 211534783, 223401898, 223928913, 250134141, 251960598, 252220070, 252472133, 268734544, 312228682, 315445287, 315673780, 316962956, 316967062, 318240813, 319099020, 319555073, 336283454, 340509605, 340514553, 340515466, 341141291, 342427738, 348283747, 348397745, 349353953, 354283868, 355039094, 355055448, 374368831, 377310770, 382165418, 384571027, 384572684, 385781819, 386213220, 386618552, 387021883, 387164432, 419493454, 434253589, 438457521, 438628684, 440790348, 440816795, 441131853, 855766, 7979667, 11528352, 26663153, 26719680, 46386736, 56422506, 80687814, 85087123, 87560997, 126670854, 143493343, 144089116, 152240606, 164117701, 172080249, 185972073, 194134279, 223401897, 241148376, 249845038, 251912057, 251915130, 252358887, 252390115, 252448803, 253666521, 254761940, 255459390, 275940490, 277292904, 277309309, 310275571, 312607594, 312695741, 313075668, 315493084, 318161401, 319062538, 319470803, 322072560, 329892723, 329976856, 336299459, 340560808, 341833910, 346428274, 346724919, 371629909, 374181822, 375082709, 375574590, 375790940, 381353598, 383428338, 385002786, 387164431, 404617244, 405113462, 406530101, 433780793, 434132232, 438473511, 438473512, 438505595, 440814160, 12012955, 53787365, 80687815, 135013328, 319332663, 349994004, 93166954, 318154403, 319356465, 319391588, 319547158, 355174964, 381318628, 439576502, 80687817, 250218605, 273002570, 316959052, 316963141, 318695431, 319440923, 375644025, 434123990, 441076157",VHVPQPYKVGDNFY-ZPGVKDDISA-N,Itraconazole,,Treatment of basal cell carcinoma nevus syndrome.,"C0007117,C0027962","Basal cell carcinoma , Nevus",05/19/2016,Designated,Not FDA Approved for Orphan Indication,,,,,Mayne Pharma LLC|1240 Sugg Parkway|Greenville|North Carolina|27834|United States
PURKAOJPTOLRMP-UHFFFAOYSA-N,16220172,"103941148, 125299328, 135264255, 135653729, 136926964, 152258419, 160645564, 160647255, 162037465, 175427103, 178101159, 184819711, 223471420, 224174132, 251971329, 252151326, 253659515, 254762027, 275313717, 312228993, 312616299, 313055862, 313077351, 315796484, 318163504, 319362275, 319552468, 329878716, 340503192, 340575648, 341142296, 347239498, 347746219, 348284114, 349994601, 355040504, 373325395, 374072476, 375576751, 378132411, 384568492, 384572384, 385156107, 385790509, 386627670, 387140912, 419474712, 433794855, 434315971, 436380283, 438493599, 439655820, 441044031, 375633421, 405507578, 440054234, 312673167, 440811460",PURKAOJPTOLRMP-UHFFFAOYSA-N,ivacaftor,Kalydeco,Treatment of patients with cystic fibrosis,C0010674,Cystic Fibrosis,12/20/2006,Designated/Approved,,Treatment of cystic fibrosis (CF) in patients age 12 months and older who have one mutation in the CFTR gene that is responsive to ivacaftor potentiation based on clinical and/or in vitro assay data., 08/15/2018 , 08/15/2025 ,For the treatment of cystic fibrosis (CF) in patients age 12 months to less than 2 years who have one mutation in the CFTR gene that is responsive to ivacaftor potentiation based on clinical and/or in vitro assay data,"Vertex Pharmaceuticals, Inc.|50 Northern Avenue|Boston|Massachusetts|2210|United States"
WIJZXSAJMHAVGX-DHLKQENFSA-N,71657455,"85345048, 312321819, 312322865, 313371287, 315661293, 316580611, 319480487, 319556997, 336444103, 348770947, 354330019, 354340311, 355037226, 355174979, 374362142, 375578312, 375987412, 376231670, 384569240, 385779353, 386616045, 404772020, 434253600, 436381189, 438457535, 440796081, 322098160, 340504148, 340504615, 375568084, 375568272",WIJZXSAJMHAVGX-DHLKQENFSA-N,ivosidenib,,Treatment of glioma.,C0017638,Glioma,05/01/2018,Designated,Not FDA Approved for Orphan Indication,,,,,"Agios Pharmaceuticals, Inc.|88 Sidney Street|Cambridge|Massachusetts|2139|United States"
WIJZXSAJMHAVGX-DHLKQENFSA-N,71657455,"85345048, 312321819, 312322865, 313371287, 315661293, 316580611, 319480487, 319556997, 336444103, 348770947, 354330019, 354340311, 355037226, 355174979, 374362142, 375578312, 375987412, 376231670, 384569240, 385779353, 386616045, 404772020, 434253600, 436381189, 438457535, 440796081, 322098160, 340504148, 340504615, 375568084, 375568272",WIJZXSAJMHAVGX-DHLKQENFSA-N,ivosidenib,,Treatment of myelodysplastic syndromes,C3463824,Myelodysplastic Syndromes,05/20/2020,Designated,Not FDA Approved for Orphan Indication,,,,,"Agios Pharmaceuticals, Inc.|88 Sidney Street|Cambridge|Massachusetts|2139|United States"
KPYSYYIEGFHWSV-QMMMGPOBSA-N,44602,"135107526, 162255235, 319092574, 347828402, 123055284, 162255234, 348398423",KPYSYYIEGFHWSV-QMMMGPOBSA-N,L-baclofen,,Treatment of intractable spasticity in children with cerebral palsy.,"C0007789,C0026838","Cerebral Palsy , Spasticity",01/30/1992,Designated,Not FDA Approved for Orphan Indication,,,,,Osmotica Pharmaceutical Corp.|1205 Culbreth Drive|Suite 200|Wilmington|North Carolina|28405|United States
KPYSYYIEGFHWSV-MRVPVSSYSA-N,44600,"135107526, 162255235, 319092574, 347828402, 123055284, 162255234, 348398423",KPYSYYIEGFHWSV-MRVPVSSYSA-N,L-baclofen,,Treatment of intractable spasticity in children with cerebral palsy.,"C0007789,C0026838","Cerebral Palsy , Spasticity",01/30/1992,Designated,Not FDA Approved for Orphan Indication,,,,,Osmotica Pharmaceutical Corp.|1205 Culbreth Drive|Suite 200|Wilmington|North Carolina|28405|United States
SHZGCJCMOBCMKK-DHVFOXMCSA-N,17106,"134981602, 162090190, 162190097, 178101432, 184816727, 223878271, 249721671, 251892087, 252227810, 252351259, 310273955, 316432445, 316971451, 319258349, 322095128, 341834726, 349989792, 374128584, 376034529, 381382881, 404640815, 404772669, 405235005, 438473444, 4264, 46530923, 49747526, 85164884, 103583169, 104099065, 175443381, 251973912, 312225646, 433774971, 162260149, 223725707, 375102147, 375934265, 434297793, 438460530, 8137774, 85086235, 312694131, 348274295, 386266818",SHZGCJCMOBCMKK-DHVFOXMCSA-N,L-fucose,,Treatment of Leukocyte Adhesion Deficiency Type- II,C0272187,Leukocyte adhesion deficiency,06/08/2020,Designated,Not FDA Approved for Orphan Indication,,,,,"Orpha Labs, AG|Haldenstrasse 5|Baar|Zug|Switzerland"
ZDXPYRJPNDTMRX-VKHMYHEASA-N,5961,"3364, 841114, 8143908, 10527678, 46505866, 48416059, 49737762, 49972939, 50106343, 50106344, 56311092, 56312983, 56313311, 57288450, 81044504, 85164886, 87350313, 87570277, 92303768, 103242251, 103827374, 117518284, 117569465, 124384975, 126593579, 126606749, 126651521, 127303842, 127303843, 127303844, 127303845, 127303846, 127303847, 127303848, 127303849, 127303850, 127303851, 127303852, 127303853, 127303854, 127303855, 127303856, 127303857, 127303858, 127303859, 127303860, 127303861, 127303862, 127303863, 127303864, 127303865, 127303866, 127303867, 127303868, 127303869, 127303870, 127303871, 127303872, 127303873, 127303874, 127303875, 127303876, 127303877, 127303878, 127303879, 127303880, 127303881, 127303882, 127303883, 127303884, 127303885, 127303886, 134972923, 135651502, 143503833, 160800093, 160963333, 160963479, 162175849, 163564503, 172088263, 174552159, 210280247, 210282227, 223380642, 223435581, 223737400, 241097807, 249827542, 249947717, 250206538, 252220036, 252400127, 252403272, 255399554, 275880690, 310274235, 312225829, 312344674, 312616074, 312695094, 312808189, 312811177, 313081317, 315369613, 315445378, 315673711, 316396183, 316603650, 318153201, 318161228, 319063957, 319450519, 319554494, 329830644, 332850049, 340509330, 346417291, 347913222, 348274682, 348397302, 349129530, 349975712, 350089572, 363602835, 374062111, 374168939, 375669271, 376047191, 376219763, 381118564, 381333613, 382162510, 383221179, 385633506, 386053734, 386266668, 386393285, 386479863, 387021856, 387183666, 401963094, 404623490, 404755294, 406514818, 419488910, 433701199, 433775085, 433837783, 434252677, 434304081, 438457034, 438467111, 438470643, 438486779, 438515022, 438604962, 440791153, 87902, 8138106, 85086375, 85086376, 126677720, 126729228, 176254488, 251891850, 273002825, 2752, 57655101, 104222244, 341825871, 8146351, 241156545, 250135217, 312655857, 368501739, 433985778, 441074792",ZDXPYRJPNDTMRX-VKHMYHEASA-N,L-glutamine,Endari,Treatment of sickle cell disease,C0002895,Sickle Cell Disease,08/01/2001,Designated/Approved,,To reduce the acute complications of sickle cell disease in adult and pediatric patients 5 years of age and older., 07/07/2017 , 07/07/2024 ,To reduce the acute complications of sickle cell disease in adult and pediatric patients 5 years of age and older.,"Emmaus Medical, Inc.|21250 Hawthorne Blvd., Suite 800|Torrance|California|90503|United States"
BCFGMOOMADDAQU-UHFFFAOYSA-N,208908,"8035064, 46507141, 49742619, 50070568, 50100107, 50644701, 53788364, 85202079, 92719029, 103177479, 126592984, 126621155, 126649062, 126667073, 126731332, 127325943, 127325944, 127325945, 135128225, 144206058, 152258847, 152344180, 160647697, 160964590, 162184459, 163390063, 165245566, 170465125, 174528446, 178102319, 185998550, 196106088, 223374270, 223781297, 249827545, 251892020, 251912559, 251916671, 251971377, 252215674, 252448567, 252450918, 252543322, 255417302, 273004185, 273409984, 275890621, 277309555, 307086288, 310275709, 312228756, 312529266, 312616193, 312807990, 313076921, 315682139, 316539292, 316963675, 318153014, 318161428, 319205849, 319457248, 319552056, 328748606, 329796232, 329991146, 336446116, 340506710, 340539705, 341142567, 341840315, 346418843, 347745152, 347913461, 348283831, 348916279, 349982313, 350089183, 354267887, 355040176, 355044161, 355176589, 363662781, 368315583, 374033052, 375577239, 375581467, 375683713, 375784113, 376034287, 376229663, 377309858, 378132514, 382158761, 384568319, 384572154, 384998713, 385513453, 385786971, 386233227, 386624021, 387060959, 387073231, 404760315, 405045801, 406671370, 419492306, 438476626, 438586587, 439446817, 439641740, 440774517, 440790270, 440813637, 56311361, 387130104, 48427633, 103771162, 136367469, 162011597, 250196793, 318694931, 319436912, 441073565",BCFGMOOMADDAQU-UHFFFAOYSA-N,lapatinib,,Treatment of ErbB2 positive gastric cancer,C0024623,Gastric Cancer,05/29/2009,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,Novartis Pharmaceuticals Corp.|One Health Plaza|East Hanover|New Jersey|7936|United States
PVCULFYROUOVGJ-UHFFFAOYSA-N,3081349,"24714755, 53789252, 103421898, 135228131, 175427039, 315730038, 319288020, 349986120, 355155699, 385648020, 386484426, 387141004, 434297597, 438459145, 254759417",PVCULFYROUOVGJ-UHFFFAOYSA-N,laromustine,,Treatment of acute myelogenous leukemia,C0023467,Acute myelogenous leukemia,10/21/2004,Designated,Not FDA Approved for Orphan Indication,,,,,"Vion Pharmaceuticals, Inc.|Four Science Park|New Haven|Connecticut|6511|United States"
GOTYRUGSSMKFNF-UHFFFAOYSA-N,216326,"12015317, 46505725, 50067858, 50484855, 53786789, 91148448, 103222228, 126591352, 126667069, 134964412, 135134887, 135600354, 135610831, 135683667, 136374703, 144206045, 152258939, 160647784, 160963826, 162184835, 163116827, 164194989, 170465201, 174478244, 178103903, 204370207, 223393899, 223762183, 251915646, 251916996, 251971155, 252110265, 252160457, 252165691, 252215688, 254760266, 255345986, 272830542, 310275735, 312228170, 312616225, 313062285, 313081285, 315682133, 316490020, 316967097, 318162929, 319209266, 319552138, 322090437, 329795811, 340462709, 340547198, 341100977, 341141245, 341839826, 346420003, 347760383, 348273293, 348283151, 349991716, 350083085, 354283723, 355040100, 363662517, 374017451, 375576737, 375582195, 375638348, 376229524, 385003674, 385787572, 386270689, 386624648, 387095318, 406695760, 419504344, 433837764, 434315456, 438493815, 438595734, 438651075, 440774555, 440790418, 249850599, 251886816, 252450387, 384568318, 384572151, 439574080, 315664906, 385873746, 56314526, 57288561, 221672983, 250197341, 319436149, 364207115, 441071216",GOTYRUGSSMKFNF-UHFFFAOYSA-N,lenalidomide,Revlimid,Treatment of nodal marginal zone lymphoma,C0242647,Nodal marginal zone lymphoma,01/04/2017,Designated/Approved,,"REVLIMID in combination with a rituximab product, is indicated for the treatment of adult patients with previously treated marginal zone lymphoma (MZL).", 05/28/2019 , 05/28/2026 ,In combination with a rituximab product for the treatment of adult patients with previously treated nodal marginal zone lymphoma,Celgene Corporation|86 Morris Avenue|Summit|New Jersey|7901|United States
GOTYRUGSSMKFNF-UHFFFAOYSA-N,216326,"12015317, 46505725, 50067858, 50484855, 53786789, 91148448, 103222228, 126591352, 126667069, 134964412, 135134887, 135600354, 135610831, 135683667, 136374703, 144206045, 152258939, 160647784, 160963826, 162184835, 163116827, 164194989, 170465201, 174478244, 178103903, 204370207, 223393899, 223762183, 251915646, 251916996, 251971155, 252110265, 252160457, 252165691, 252215688, 254760266, 255345986, 272830542, 310275735, 312228170, 312616225, 313062285, 313081285, 315682133, 316490020, 316967097, 318162929, 319209266, 319552138, 322090437, 329795811, 340462709, 340547198, 341100977, 341141245, 341839826, 346420003, 347760383, 348273293, 348283151, 349991716, 350083085, 354283723, 355040100, 363662517, 374017451, 375576737, 375582195, 375638348, 376229524, 385003674, 385787572, 386270689, 386624648, 387095318, 406695760, 419504344, 433837764, 434315456, 438493815, 438595734, 438651075, 440774555, 440790418, 249850599, 251886816, 252450387, 384568318, 384572151, 439574080, 315664906, 385873746, 56314526, 57288561, 221672983, 250197341, 319436149, 364207115, 441071216",GOTYRUGSSMKFNF-UHFFFAOYSA-N,lenalidomide,Revlimid,Treatment of splenic marginal zone lymphoma,C0349632,Splenic marginal zone lymphoma,01/04/2017,Designated/Approved,,"REVLIMID in combination with a rituximab product, is indicated for the treatment of adult patients with previously treated marginal zone lymphoma (MZL).", 05/28/2019 , 05/28/2026 ,In combination with a rituximab product for the treatment of adult patients with previously treated splenic marginal zone lymphoma,Celgene Corporation|86 Morris Avenue|Summit|New Jersey|7901|United States
WOSKHXYHFSIKNG-UHFFFAOYSA-N,9823820,"123098996, 134221774, 135262444, 152258284, 160647123, 162037768, 178103998, 251971223, 252150297, 255496909, 295371262, 310265006, 312616201, 315754956, 318163925, 319339470, 319434855, 319552125, 329891370, 329978966, 341186753, 347706758, 347730500, 348273173, 350095269, 354329206, 355040616, 373774193, 374095314, 375563205, 375577183, 376033433, 378132176, 381336533, 381372650, 384570998, 384572617, 384995533, 385638768, 386632962, 387170709, 387250720, 402287919, 402420959, 419498072, 433794392, 438517984, 438645303, 439483046, 440803283, 440805441, 440983532, 441131869, 375666187",WOSKHXYHFSIKNG-UHFFFAOYSA-N,lenvatinib,,Treatment of stage IIB to Stage IV melanoma,C0025202,melanoma,03/26/2014,Designated,Not FDA Approved for Orphan Indication,,,,,"Eisai, Inc.|155 Tice Blvd|Woodcliff Lake|New Jersey|7677|United States"
OXVFDZYQLGRLCD-USSMZTJJSA-N,45359068,"103391901, 336269808, 385324852, 385326603, 404772465, 440738796, 434298108, 438459977, 439507879, 405455885, 440002547, 423235859",OXVFDZYQLGRLCD-USSMZTJJSA-N,leriglitazone,,Treatment of Friedreichs ataxia,C0016719,FRIEDREICHS ATAXIA,08/01/2019,Designated,Not FDA Approved for Orphan Indication,,,,,"Minoryx Therapeutics S.L.|TecnoCampus Mataro-Maresme. TCM3 602|Av. Ernest Lluch, 32.|Matar󍊠|Catalunya|Spain"
OXVFDZYQLGRLCD-UHFFFAOYSA-N,4147757,"103391901, 336269808, 385324852, 385326603, 404772465, 440738796, 434298108, 438459977, 439507879, 405455885, 440002547, 423235859",OXVFDZYQLGRLCD-UHFFFAOYSA-N,leriglitazone,,Treatment of Friedreichs ataxia,C0016719,FRIEDREICHS ATAXIA,08/01/2019,Designated,Not FDA Approved for Orphan Indication,,,,,"Minoryx Therapeutics S.L.|TecnoCampus Mataro-Maresme. TCM3 602|Av. Ernest Lluch, 32.|Matar󍊠|Catalunya|Spain"
UGFHIPBXIWJXNA-UHFFFAOYSA-N,60652,"12014222, 50064201, 53789831, 85335076, 103513373, 104062424, 135016991, 178101896, 315683462, 319102435, 340134067, 341107197, 341148118, 347829194, 349982968, 355176960, 384568388, 385642743, 386479029, 387243204, 405439417, 419595774, 434315820, 438494515, 439986085, 254759909, 319111573, 78863681, 316967127, 439576322, 441080243",UGFHIPBXIWJXNA-UHFFFAOYSA-N,liarozole,,Treatment of congenital ichthyosis,C0079154,congenital ichthyosis,06/18/2004,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,"Stiefel Laboratories, Inc.|20 T.W. Alexander Drive|P. O. Box 14910|Research Triangle Park|North Carolina|27709|United States"
MWWSFMDVAYGXBV-RUELKSSGSA-N,443939,104234257,MWWSFMDVAYGXBV-RUELKSSGSA-N,Liposomal doxorubicin hydrochloride,,Treatment of soft tissue sarcomas,C1261473,Soft Tissue Sarcomas,12/27/2006,Designated,Not FDA Approved for Orphan Indication,,,,,"GP-Pharm SA|Pol. Ind. Els Vinyets els Fogars n 2,|Quinti de Mediona|Barcelona|Spain"
BKRGVLQUQGGVSM-KBXCAEBGSA-N,28864,"7979782, 46505557, 48416176, 50060231, 56464344, 57309764, 103408740, 103952701, 127339697, 127339698, 127339699, 127339700, 127339701, 135269077, 135650525, 160963934, 275389262, 312228253, 318161464, 319082826, 341141484, 348283244, 349700040, 349995061, 355177067, 381334131, 384436582, 385786798, 386623825, 387074856, 434298274, 438461030, 439458985, 126623954, 254790118, 277327513, 316898687, 405464252, 440010914, 49846681, 441080255",BKRGVLQUQGGVSM-KBXCAEBGSA-N,lisuride,,Treatment of pulmonary arterial hypertension,C3203102,PULMONARY ARTERIAL HYPERTENSION,01/17/2013,Designated,Not FDA Approved for Orphan Indication,,,,,Sinoxa Pharma GmbH|Thomasiusstr.13|Berlin|Germany
OSPNFKYGOFXGBX-YWWKUQGPSA-N,145722609,"341167277, 404616315, 434299352, 438461441, 135342975, 136929383, 347909842",OSPNFKYGOFXGBX-YWWKUQGPSA-N,Lucinactant,,Treatment of cystic fibrosis.,C0010674,Cystic Fibrosis,10/21/2010,Designated,Not FDA Approved for Orphan Indication,,,,,"Windtree Therapeutics, Inc.|2600 Kelly Road|Suite 100|Warrington|Pennsylvania|18976|United States"
JGCMEBMXRHSZKX-UHFFFAOYSA-N,16004692,"135262332, 136023841, 152258558, 160647393, 160703277, 162202062, 163344650, 171572070, 173657394, 175427162, 178103924, 184815478, 223385903, 223701845, 252110242, 252166931, 252225701, 252451827, 255343087, 273010012, 273900173, 277425363, 310827476, 312616352, 313077413, 313079203, 315756410, 318163838, 319359736, 319470777, 319552840, 329878718, 336446249, 340487984, 340575568, 341143248, 342435774, 346408385, 347730497, 347913967, 348273535, 349060677, 349992721, 350080415, 354329137, 355040393, 373568500, 374075466, 374387382, 375588302, 375664304, 376033304, 376191619, 377310483, 378130437, 381371756, 382161039, 384568781, 384572792, 385635931, 386630109, 387108568, 402287739, 402288178, 404777893, 405425621, 419496402, 433794856, 434299619, 436397458, 438461884, 441060022, 254760945, 341856955, 319434572, 364195851",JGCMEBMXRHSZKX-UHFFFAOYSA-N,macitentan,,Treatment of chronic thromboembolic pulmonary hypertension (CTEPH),C2363973,Chronic thromboembolic pulmonary hypertension,06/15/2017,Designated,Not FDA Approved for Orphan Indication,,,,,"Actelion Clinical Research, Inc.|1820 Chapel Avenue West|Suite 300|Cherry Hill|New Jersey|8002|United States"
STPKWKPURVSAJF-LJEWAXOPSA-N,9831643,"103469496, 249820159, 355177293, 385765900, 386602583",STPKWKPURVSAJF-LJEWAXOPSA-N,maralixibat,,Treatment of alagille syndrome,C0085280,Alagille Syndrome,09/04/2013,Designated,Not FDA Approved for Orphan Indication,,,,,"Mirum Pharmaceuticals, Inc.|950 Tower Lane|Suite 1050|Foster City|California|94404|United States"
WESWYMRNZNDGBX-YLCXCWDSSA-N,65329,"11528737, 135022425, 162180987, 172090781, 253665632, 312694899, 319105993, 347914424, 375578027, 377311114, 438498659, 135590705, 163124581, 319345461, 160963705, 319222157, 319363938, 342526256, 366590561, 374034800, 318161535",WESWYMRNZNDGBX-YLCXCWDSSA-N,mefloquine HCL,Lariam,"For use in the treatment of acute malaria due to Plasmodium falciparum and Plasmodium vivax, and for the prophylaxis of Plasmodium falciparum malaria which is resistant to other available drugs","C0024535,C2930826","Plasmodium falciparum Malaria , Acute malaria",04/13/1988,Designated/Approved,,Prophylaxis of Plasmodium falciparum malaria which is resistant to other available drugs, 05/03/1989 , 05/03/1996 ,,"Hoffmann-La Roche, Inc.|340 Kingsland Street|Nutley|New Jersey|7110|United States"
WESWYMRNZNDGBX-YLCXCWDSSA-N,65329,"11528737, 135022425, 162180987, 172090781, 253665632, 312694899, 319105993, 347914424, 375578027, 377311114, 438498659, 135590705, 163124581, 319345461, 160963705, 319222157, 319363938, 342526256, 366590561, 374034800, 318161535",WESWYMRNZNDGBX-YLCXCWDSSA-N,mefloquine HCL,Lariam,"For use in the treatment of acute malaria due to Plasmodium falciparum and Plasmodium vivax, and for the prophylaxis of Plasmodium falciparum malaria which is resistant to other available drugs","C0024535,C2930826","Plasmodium falciparum Malaria , Acute malaria",04/13/1988,Designated/Approved,,Treatment of acute malaria due to Plasmodium falciparum and Plasmodium vivax, 05/02/1989 , 05/02/1996 ,,"Hoffmann-La Roche, Inc.|340 Kingsland Street|Nutley|New Jersey|7110|United States"
DRLFMBDRBRZALE-UHFFFAOYSA-N,896,"2961, 4752, 105815, 410775, 798411, 841969, 7979886, 8144655, 8149639, 10321385, 17388930, 17389536, 26759121, 29204367, 46500483, 46509101, 46509793, 48416204, 48421927, 48423636, 48425270, 48425271, 49718192, 49747966, 49747967, 49855751, 50086687, 50105414, 50105416, 51951460, 53790088, 56310582, 56313759, 85087484, 87573071, 92298010, 92304139, 93166070, 103166463, 103913882, 117498614, 126632809, 126659037, 134972795, 135651518, 135697782, 136340363, 136367361, 143489736, 144203746, 144208725, 144213243, 152238569, 160810185, 160964399, 162170568, 163409810, 163564741, 163687728, 170465589, 172765315, 174549181, 185995573, 196109749, 198992727, 210279182, 210281505, 223377401, 224416925, 242059708, 249719786, 250042203, 252157348, 252306177, 252401243, 268735744, 273002888, 274190216, 274955123, 277309203, 310276097, 312226169, 312344912, 312695553, 312811195, 313081423, 315445488, 315673152, 316543344, 316897611, 316965872, 318152049, 318161539, 318692702, 319554558, 340074136, 340475143, 340509719, 340515021, 340516339, 340530802, 341139750, 341834004, 346427101, 347913722, 348273554, 348275256, 349280771, 349984554, 355049629, 363603067, 363901422, 368505455, 374016679, 375131258, 375666571, 375749969, 376193084, 376220001, 376227657, 377309456, 381337402, 381354891, 382164415, 384567881, 384571550, 385643487, 386191640, 386268896, 386393032, 386479790, 387022037, 387086053, 404425814, 404617308, 404754346, 419507128, 433774812, 433775326, 433777469, 433777470, 433777471, 433778009, 433778862, 433780693, 434299599, 438462485, 438473353, 438473354, 438517528, 438649698, 440065800, 51951461, 51951462, 349328807, 441076632",DRLFMBDRBRZALE-UHFFFAOYSA-N,melatonin,,Treatment of acute acetaminophen overdose,C0572025,Acetaminophen overdose,03/02/2017,Designated,Not FDA Approved for Orphan Indication,,,,,"WORPHMED Srl|Via Malachia Marchesi de Taddei, 21|Milan|Lombardy|Italy"
OUUYBRCCFUEMLH-YDALLXLXSA-N,9927978,"301128, 96024863, 103770846, 126655673, 134982150, 136342507, 163135683, 196106663, 316388681, 340520106, 341860841, 348483272, 355042732, 375121650, 385733161, 386569782, 434299688, 438462506, 341108317, 349672618, 405479684, 406847941, 440026343, 49865857, 126599427, 318033172, 318161545, 341354773, 441071553",OUUYBRCCFUEMLH-YDALLXLXSA-N,melphalan hydrochloride,,Treatment of neuroendocrine tumors,C0206754,Neuroendocrine Tumors,05/22/2009,Designated,Not FDA Approved for Orphan Indication,,,,,"Delcath Systems, Inc.|1301 6th Avenue|43rd Floor|New York|New York|10019|United States"
INWLQCZOYSRPNW-UHFFFAOYSA-N,4062,"9731, 7980449, 10538842, 46507857, 48416218, 50010838, 85286140, 92729954, 103301299, 126629593, 126655513, 134972696, 160964300, 163366988, 175442370, 178103798, 196110269, 224342808, 241041779, 249964852, 252453687, 254760431, 255344880, 274087144, 312228527, 315673849, 316898598, 318161565, 318167993, 318241231, 319062697, 319062698, 322085501, 341139229, 341840198, 348283568, 349994737, 355178418, 355279350, 363593864, 374040524, 375656418, 382166775, 385782729, 386619498, 387105044, 387105045, 404639590, 404754940, 419555062, 433778867, 439362212, 439432393, 439639993, 440790836, 406806633, 438635115, 441072243",INWLQCZOYSRPNW-UHFFFAOYSA-N,mepivacaine,,Treatment of postherpetic neuralgia,C0032768,Postherpetic neuralgia,01/08/2007,Designated,Not FDA Approved for Orphan Indication,,,,,"Relmada Therapeutics, Inc.|546 Fifth Avenue|14 Floor|New York|New York|10036|United States"
XNXVOSBNFZWHBV-UHFFFAOYSA-N,521874,"538693, 10528734, 87572413, 87572875, 134978039, 162035271, 162759538, 174494743, 202825052, 223746155, 252373066, 252402113, 254753926, 322071471, 329991078, 341208697, 355178885, 363895786, 375138801, 376214900, 376227960, 385733805, 386236961, 386570427, 434300340, 438462697, 440065671, 53787988, 134970722, 268736134, 373904059, 441080772",XNXVOSBNFZWHBV-UHFFFAOYSA-N,Methoxyamine hydrochloride,,Treatment of malignant glioma,C0555198,Malignant Glioma,10/22/2020,Designated,Not FDA Approved for Orphan Indication,,,,,"TRACON Pharmaceuticals, Inc.|4350 La Jolla Village Dr., Suite 800|San Diego|California|92122|United States"
VLPIATFUUWWMKC-UHFFFAOYSA-N,4178,"9429, 7979981, 46505491, 49969305, 50468461, 92729782, 103178542, 104010844, 104222091, 126656806, 126667667, 135000434, 135650603, 160963726, 162182772, 196107288, 224300994, 249911306, 273592166, 312228097, 315683626, 318161655, 319062770, 341838036, 348283066, 349994812, 355047476, 355068154, 355181512, 363593771, 375666446, 383435658, 385786983, 386268061, 386624033, 387165113, 402337528, 404617327, 404754967, 405479466, 419502473, 439374084, 439445652, 440026125, 440790273, 50468462, 93166656, 103394848, 104026219, 434124005, 50468463, 103394849, 104026220, 374917989, 341141648, 387165112, 441071712",VLPIATFUUWWMKC-UHFFFAOYSA-N,mexiletine,,Treatment of nondystrophic myotonia,C2931139,Nondystrophic myotonia,09/02/2010,Designated,Not FDA Approved for Orphan Indication,,,,,University of Rochester Medical Center|1351 Mt. Hope Ave.|Suite 203|Rochester|New York|14620|United States
HBNPJJILLOYFJU-VMPREFPWSA-N,60663,"9431, 7979984, 46504498, 48416277, 50064211, 51068792, 53788328, 53801058, 103229908, 104011327, 135047604, 163620961, 163686283, 185998774, 223440331, 225039582, 250133489, 252479748, 273941790, 312246252, 315673900, 318161658, 319102443, 319553756, 341108440, 341143246, 348592139, 349994643, 355039858, 375133783, 375299465, 381412280, 382153725, 385633134, 386633630, 387097731, 404618370, 419491791, 434301063, 438462934, 11528605, 51068791, 135017128, 277425103, 335987582, 375758251, 51068793, 250219037, 369755425",HBNPJJILLOYFJU-VMPREFPWSA-N,mibefradil,,Treatment of glioblastoma multiforme.,C0017636,Glioblastoma multiforme,08/25/2009,Designated,Not FDA Approved for Orphan Indication,,,,,"Cavion, LLC|600 E. Water Street|Suite E|Charlottesville|Virginia|22902|United States"
